New best performer mean: 0.7500, std: 0.04
	Metaepoch mean: 0.7280, std: 0.01
	Metaepoch max performer: 0.7500, min performer: 0.6514

	Metaepoch mean: 0.7041, std: 0.01
	Metaepoch max performer: 0.7252, min performer: 0.6264

	Metaepoch mean: 0.6991, std: 0.01
	Metaepoch max performer: 0.7232, min performer: 0.6510

	Metaepoch mean: 0.7099, std: 0.01
	Metaepoch max performer: 0.7342, min performer: 0.6684

	Metaepoch mean: 0.7097, std: 0.01
	Metaepoch max performer: 0.7364, min performer: 0.6566

	Metaepoch mean: 0.6967, std: 0.01
	Metaepoch max performer: 0.7194, min performer: 0.6562

	Metaepoch mean: 0.6915, std: 0.01
	Metaepoch max performer: 0.7150, min performer: 0.6414

	Metaepoch mean: 0.6930, std: 0.01
	Metaepoch max performer: 0.7132, min performer: 0.6568

	Metaepoch mean: 0.6942, std: 0.01
	Metaepoch max performer: 0.7184, min performer: 0.6476

	Metaepoch mean: 0.6988, std: 0.01
	Metaepoch max performer: 0.7202, min performer: 0.6476

	Metaepoch mean: 0.6965, std: 0.01
	Metaepoch max performer: 0.7212, min performer: 0.6484

	Metaepoch mean: 0.6992, std: 0.01
	Metaepoch max performer: 0.7254, min performer: 0.6366

	Metaepoch mean: 0.6838, std: 0.01
	Metaepoch max performer: 0.7086, min performer: 0.6306

	Metaepoch mean: 0.7102, std: 0.01
	Metaepoch max performer: 0.7348, min performer: 0.6598

	Metaepoch mean: 0.7029, std: 0.01
	Metaepoch max performer: 0.7256, min performer: 0.6588

	Metaepoch mean: 0.7035, std: 0.01
	Metaepoch max performer: 0.7280, min performer: 0.6590

	Metaepoch mean: 0.6989, std: 0.01
	Metaepoch max performer: 0.7266, min performer: 0.6548

	Metaepoch mean: 0.6841, std: 0.01
	Metaepoch max performer: 0.7138, min performer: 0.6332

	Metaepoch mean: 0.7031, std: 0.01
	Metaepoch max performer: 0.7266, min performer: 0.6520

	Metaepoch mean: 0.7110, std: 0.01
	Metaepoch max performer: 0.7352, min performer: 0.6576

	Metaepoch mean: 0.7002, std: 0.01
	Metaepoch max performer: 0.7242, min performer: 0.6338

	Metaepoch mean: 0.7126, std: 0.01
	Metaepoch max performer: 0.7360, min performer: 0.6660

	Metaepoch mean: 0.7102, std: 0.01
	Metaepoch max performer: 0.7334, min performer: 0.6448

	Metaepoch mean: 0.7025, std: 0.01
	Metaepoch max performer: 0.7334, min performer: 0.6432

	Metaepoch mean: 0.6944, std: 0.01
	Metaepoch max performer: 0.7172, min performer: 0.6434

	Metaepoch mean: 0.7036, std: 0.01
	Metaepoch max performer: 0.7280, min performer: 0.6676

	Metaepoch mean: 0.7100, std: 0.01
	Metaepoch max performer: 0.7308, min performer: 0.6698

	Metaepoch mean: 0.7004, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6396

	Metaepoch mean: 0.7235, std: 0.01
	Metaepoch max performer: 0.7480, min performer: 0.6666

	Metaepoch mean: 0.7082, std: 0.01
	Metaepoch max performer: 0.7308, min performer: 0.6624

	Metaepoch mean: 0.7019, std: 0.01
	Metaepoch max performer: 0.7320, min performer: 0.6314

	Metaepoch mean: 0.7080, std: 0.01
	Metaepoch max performer: 0.7330, min performer: 0.6640

	Metaepoch mean: 0.7151, std: 0.01
	Metaepoch max performer: 0.7370, min performer: 0.6686

	Metaepoch mean: 0.7030, std: 0.01
	Metaepoch max performer: 0.7260, min performer: 0.6586

	Metaepoch mean: 0.7017, std: 0.01
	Metaepoch max performer: 0.7244, min performer: 0.6598

	Metaepoch mean: 0.7133, std: 0.01
	Metaepoch max performer: 0.7402, min performer: 0.6520

	Metaepoch mean: 0.7013, std: 0.01
	Metaepoch max performer: 0.7272, min performer: 0.6548

	Metaepoch mean: 0.7174, std: 0.01
	Metaepoch max performer: 0.7398, min performer: 0.6802

	Metaepoch mean: 0.6948, std: 0.01
	Metaepoch max performer: 0.7194, min performer: 0.6358

	Metaepoch mean: 0.7046, std: 0.01
	Metaepoch max performer: 0.7280, min performer: 0.6606

	Metaepoch mean: 0.6945, std: 0.01
	Metaepoch max performer: 0.7190, min performer: 0.6370

	Metaepoch mean: 0.7099, std: 0.01
	Metaepoch max performer: 0.7302, min performer: 0.6624

	Metaepoch mean: 0.7028, std: 0.01
	Metaepoch max performer: 0.7250, min performer: 0.6346

	Metaepoch mean: 0.6982, std: 0.01
	Metaepoch max performer: 0.7216, min performer: 0.6652

	Metaepoch mean: 0.7040, std: 0.01
	Metaepoch max performer: 0.7324, min performer: 0.6514

	Metaepoch mean: 0.7151, std: 0.01
	Metaepoch max performer: 0.7410, min performer: 0.6474

	Metaepoch mean: 0.6974, std: 0.01
	Metaepoch max performer: 0.7214, min performer: 0.6580

	Metaepoch mean: 0.6994, std: 0.01
	Metaepoch max performer: 0.7240, min performer: 0.6494

	Metaepoch mean: 0.6982, std: 0.01
	Metaepoch max performer: 0.7198, min performer: 0.6382

	Metaepoch mean: 0.6840, std: 0.01
	Metaepoch max performer: 0.7056, min performer: 0.6252

	Metaepoch mean: 0.7123, std: 0.01
	Metaepoch max performer: 0.7414, min performer: 0.6590

	Metaepoch mean: 0.7104, std: 0.01
	Metaepoch max performer: 0.7382, min performer: 0.6660

	Metaepoch mean: 0.6836, std: 0.01
	Metaepoch max performer: 0.7070, min performer: 0.6312

	Metaepoch mean: 0.7103, std: 0.01
	Metaepoch max performer: 0.7306, min performer: 0.6726

	Metaepoch mean: 0.7041, std: 0.01
	Metaepoch max performer: 0.7256, min performer: 0.6576

	Metaepoch mean: 0.7042, std: 0.01
	Metaepoch max performer: 0.7246, min performer: 0.6666

	Metaepoch mean: 0.6987, std: 0.01
	Metaepoch max performer: 0.7234, min performer: 0.6508

	Metaepoch mean: 0.6941, std: 0.01
	Metaepoch max performer: 0.7230, min performer: 0.6560

	Metaepoch mean: 0.7102, std: 0.01
	Metaepoch max performer: 0.7398, min performer: 0.6556

	Metaepoch mean: 0.7097, std: 0.01
	Metaepoch max performer: 0.7336, min performer: 0.6502

	Metaepoch mean: 0.6987, std: 0.01
	Metaepoch max performer: 0.7256, min performer: 0.6422

	Metaepoch mean: 0.6974, std: 0.01
	Metaepoch max performer: 0.7228, min performer: 0.6596

	Metaepoch mean: 0.7128, std: 0.01
	Metaepoch max performer: 0.7352, min performer: 0.6778

	Metaepoch mean: 0.7204, std: 0.01
	Metaepoch max performer: 0.7422, min performer: 0.6568

	Metaepoch mean: 0.7117, std: 0.01
	Metaepoch max performer: 0.7336, min performer: 0.6622

	Metaepoch mean: 0.7074, std: 0.01
	Metaepoch max performer: 0.7290, min performer: 0.6620

	Metaepoch mean: 0.7064, std: 0.01
	Metaepoch max performer: 0.7312, min performer: 0.6496

	Metaepoch mean: 0.7124, std: 0.01
	Metaepoch max performer: 0.7326, min performer: 0.6714

	Metaepoch mean: 0.7130, std: 0.01
	Metaepoch max performer: 0.7328, min performer: 0.6336

	Metaepoch mean: 0.7152, std: 0.01
	Metaepoch max performer: 0.7388, min performer: 0.6672

	Metaepoch mean: 0.7060, std: 0.01
	Metaepoch max performer: 0.7316, min performer: 0.6426

	Metaepoch mean: 0.7192, std: 0.01
	Metaepoch max performer: 0.7380, min performer: 0.6652

	Metaepoch mean: 0.6974, std: 0.01
	Metaepoch max performer: 0.7204, min performer: 0.6352

	Metaepoch mean: 0.6933, std: 0.01
	Metaepoch max performer: 0.7214, min performer: 0.6586

	Metaepoch mean: 0.7036, std: 0.01
	Metaepoch max performer: 0.7252, min performer: 0.6668

	Metaepoch mean: 0.7089, std: 0.01
	Metaepoch max performer: 0.7298, min performer: 0.6602

	Metaepoch mean: 0.6827, std: 0.01
	Metaepoch max performer: 0.7048, min performer: 0.6272

	Metaepoch mean: 0.7051, std: 0.01
	Metaepoch max performer: 0.7296, min performer: 0.6382

	Metaepoch mean: 0.6885, std: 0.01
	Metaepoch max performer: 0.7114, min performer: 0.6518

	Metaepoch mean: 0.6992, std: 0.01
	Metaepoch max performer: 0.7220, min performer: 0.6614

	Metaepoch mean: 0.6949, std: 0.01
	Metaepoch max performer: 0.7164, min performer: 0.6514

	Metaepoch mean: 0.7118, std: 0.01
	Metaepoch max performer: 0.7332, min performer: 0.6772

	Metaepoch mean: 0.7048, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6600

	Metaepoch mean: 0.7097, std: 0.01
	Metaepoch max performer: 0.7322, min performer: 0.6490

	Metaepoch mean: 0.6916, std: 0.01
	Metaepoch max performer: 0.7174, min performer: 0.6460

	Metaepoch mean: 0.7075, std: 0.01
	Metaepoch max performer: 0.7300, min performer: 0.6426

	Metaepoch mean: 0.6859, std: 0.01
	Metaepoch max performer: 0.7122, min performer: 0.6482

	Metaepoch mean: 0.7187, std: 0.01
	Metaepoch max performer: 0.7418, min performer: 0.6910

	Metaepoch mean: 0.6993, std: 0.01
	Metaepoch max performer: 0.7222, min performer: 0.6674

	Metaepoch mean: 0.7042, std: 0.01
	Metaepoch max performer: 0.7234, min performer: 0.6712

	Metaepoch mean: 0.6993, std: 0.01
	Metaepoch max performer: 0.7174, min performer: 0.6582

	Metaepoch mean: 0.7024, std: 0.01
	Metaepoch max performer: 0.7282, min performer: 0.6660

	Metaepoch mean: 0.7029, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6632

	Metaepoch mean: 0.7131, std: 0.01
	Metaepoch max performer: 0.7378, min performer: 0.6340

	Metaepoch mean: 0.6984, std: 0.01
	Metaepoch max performer: 0.7240, min performer: 0.6524

	Metaepoch mean: 0.6967, std: 0.01
	Metaepoch max performer: 0.7172, min performer: 0.6618

	Metaepoch mean: 0.6958, std: 0.01
	Metaepoch max performer: 0.7164, min performer: 0.6264

	Metaepoch mean: 0.7085, std: 0.01
	Metaepoch max performer: 0.7288, min performer: 0.6730

	Metaepoch mean: 0.7233, std: 0.01
	Metaepoch max performer: 0.7466, min performer: 0.6754

	Metaepoch mean: 0.7113, std: 0.01
	Metaepoch max performer: 0.7352, min performer: 0.6546

	Metaepoch mean: 0.6926, std: 0.01
	Metaepoch max performer: 0.7160, min performer: 0.6410

	Metaepoch mean: 0.6972, std: 0.01
	Metaepoch max performer: 0.7188, min performer: 0.6448

	Metaepoch mean: 0.7175, std: 0.01
	Metaepoch max performer: 0.7422, min performer: 0.6640

	Metaepoch mean: 0.7074, std: 0.01
	Metaepoch max performer: 0.7318, min performer: 0.6624

	Metaepoch mean: 0.6960, std: 0.01
	Metaepoch max performer: 0.7172, min performer: 0.6548

	Metaepoch mean: 0.7010, std: 0.01
	Metaepoch max performer: 0.7220, min performer: 0.6640

	Metaepoch mean: 0.7032, std: 0.01
	Metaepoch max performer: 0.7266, min performer: 0.6612

	Metaepoch mean: 0.6978, std: 0.01
	Metaepoch max performer: 0.7236, min performer: 0.6552

	Metaepoch mean: 0.6895, std: 0.01
	Metaepoch max performer: 0.7134, min performer: 0.6524

	Metaepoch mean: 0.7093, std: 0.01
	Metaepoch max performer: 0.7358, min performer: 0.6718

	Metaepoch mean: 0.7119, std: 0.01
	Metaepoch max performer: 0.7348, min performer: 0.6704

	Metaepoch mean: 0.7086, std: 0.01
	Metaepoch max performer: 0.7286, min performer: 0.6708

	Metaepoch mean: 0.6970, std: 0.01
	Metaepoch max performer: 0.7190, min performer: 0.6632

	Metaepoch mean: 0.7097, std: 0.01
	Metaepoch max performer: 0.7318, min performer: 0.6654

	Metaepoch mean: 0.7234, std: 0.01
	Metaepoch max performer: 0.7420, min performer: 0.6852

	Metaepoch mean: 0.6990, std: 0.01
	Metaepoch max performer: 0.7224, min performer: 0.6602

	Metaepoch mean: 0.7078, std: 0.01
	Metaepoch max performer: 0.7318, min performer: 0.6602

	Metaepoch mean: 0.7044, std: 0.01
	Metaepoch max performer: 0.7296, min performer: 0.6580

	Metaepoch mean: 0.7171, std: 0.01
